"Restaurant";"Category";"Product";"ImagePath";"ProductId"
"Komagene Etsiz Çiğ Köfte, Fener";"Pilavlar";"Pilav Üstü Et Kavurma (300 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/etli-pilav.jpg";"3fda937d-24d8-473a-afc6-d4b10f1c4232"
"McDonald's Kahvaltı, Lara";"Kahvaltı Menüsü";"Sucuklu Yumurtalı McMuffin";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/mcdonalds/Sucuklu-Yumurtali-McMuffin.jpg";"3edd7738-2fd1-4575-a24b-1da1a840f444"
"Domino's Pizza, Liman";"Orta Boy Pizzalar (2 Kişilik)";"Fit & Fresh (Orta)";"https://cdn.yemeksepeti.com/productimages/TR_ISTANBUL/dominos_pizza/fit-fresh-son.jpg";"3dfb9682-c72b-4297-9e89-4480ea47ae64"
"Konyalılar Restaurant, Dokuma";"Pideler (1 Porsiyon)";"Kuşbaşılı Pide (1 Porsiyon)";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/konyalilar_resturant/KUSBASILI_PiDE_67.jpg";"3ecb801c-cece-445c-9f04-f884fbbb56e4"
"İnci Döner, Gülveren";"Burgerler";"Cheeseburger";"https://cdn.yemeksepeti.com/ProductImages/TR_ANTALYA/incidoner/incidonergulveren_cheeseburger_20181201171217.jpg";"3ec04ec7-5226-4966-89a7-7be60eeb7660"
"Komagene Etsiz Çiğ Köfte, Burhanettin Onat Cad.";"Tatlılar";"İrmik Helvası (120 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komagene_etsiz_cig_kofte/irmik-helvasi.jpg";"3d6e987d-828e-420d-9cfa-14e30e1df4d2"
"Kumrucu İso 35.5, Kepez (Sütçüler Mah.)";"Ekmek Arası Ürünler";"Ekmek Arası Eritme Kaşarlı Köfte";"https://cdn.yemeksepeti.com/productimages/TR_ANTALYA/kumrucu_iso_35_5/ekmek-eritmeli-kofte.jpg";"3dc10625-9ec4-43d1-bbd0-d08bae28c964"
"Komagene Etsiz Çiğ Köfte, Yeşilbahçe";"İçecekler";"Soda (20 cl.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/soda.jpg";"4030999d-1ac1-439f-bdd9-30278f891fb7"
"Domino's Pizza, Güzeloba";"Orta Boy Pizzalar (2 Kişilik)";"Sosyal Pizza (Orta)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/dominos_pizza/sosyal-pizza-son.jpg";"403c64b3-5622-459c-887b-9951f965d5c0"
"Burger King, Manavgat (Merkez)";"Tatlılar";"Apple Pie";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/burger_king_guncel/applepie.jpg";"3e043647-71f3-4c62-9ca0-c53fa847b295"
"Komagene Etsiz Çiğ Köfte, Alanya (Cikcilli)";"Dürümlü Menüler";"2'li Dürüm Menü";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/2-li-durum-menu.jpg";"3e75e8d0-715a-464a-888f-8efb1a8c4174"
"Komagene Etsiz Çiğ Köfte, Şafak";"Pilavlar";"Tavuklu Pilav (500 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/tavuk-pilav500.jpg";"3e0a59cf-25c8-4e91-8527-45d32860b7c9"
"Komagene Etsiz Çiğ Köfte, Kumluca (Merkez)";"Soğuk Mezeler";"Patlıcan Salatası (250 gr.)";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/komageneetsizcigkofte/patlican-salata.jpg";"3e70c00f-4539-4891-9ab4-70eb58ab4cc0"
"Hamsi Finger, Muratpaşa";"Balıklı Salatalar";"Hamsi Salata";"https://cdn.yemeksepeti.com/ProductImages/TR_ISTANBUL/hamsi_finger/hamsi-salata2.jpg";"40508752-9ac6-454f-83be-1671b5602b97"
